Timestamp,Name,Gender,Phone Number,Registration Number,Year of Study (4th years not allowed),Level of Exprience
02/08/2026 10:01:00,Aarav Sharma,Male,9800000000,261090050000,1st Year,Nationals or States
03/08/2026 10:02:00,Vivaan Gupta,Male,9800000137,261090050001,2nd Year,District or Local Tournaments
04/08/2026 10:03:00,Aditya Nair,Male,9800000274,261090050002,3rd Year,School
05/08/2026 10:04:00,Vihaan Reddy,Male,9800000411,261090050003,1st Year,Casual
06/08/2026 10:05:00,Arjun Mehta,Male,9800000548,261090050004,2nd Year,No experience or Beginner
07/08/2026 10:06:00,Sai Krishnan,Male,9800000685,261090050005,3rd Year,Nationals or States
08/08/2026 10:07:00,Reyansh Iyer,Male,9800000822,261090050006,1st Year,District or Local Tournaments
09/08/2026 10:08:00,Krishna Rao,Male,9800000959,261090050007,2nd Year,School
10/08/2026 10:09:00,Ishaan Verma,Male,9800001096,261090050008,3rd Year,Casual
11/08/2026 10:10:00,Rohan Das,Male,9800001233,261090050009,1st Year,No experience or Beginner
12/08/2026 10:11:00,Kabir Chauhan,Male,9800001370,261090050010,2nd Year,Nationals or States
13/08/2026 10:12:00,Ayaan Khan,Male,9800001507,261090050011,3rd Year,District or Local Tournaments
14/08/2026 10:13:00,Dhruv Patel,Male,9800001644,261090050012,1st Year,School
15/08/2026 10:14:00,Ansh Malhotra,Male,9800001781,261090050013,2nd Year,Casual
16/08/2026 10:15:00,Yuvraj Singh,Male,9800001918,261090050014,3rd Year,No experience or Beginner
17/08/2026 10:16:00,Aryan Bose,Male,9800002055,261090050015,1st Year,Nationals or States
18/08/2026 10:17:00,Kian Joseph,Male,9800002192,261090050016,2nd Year,District or Local Tournaments
19/08/2026 10:18:00,Neel Kulkarni,Male,9800002329,261090050017,3rd Year,School
20/08/2026 10:19:00,Advait Menon,Male,9800002466,261090050018,1st Year,Casual
21/08/2026 10:20:00,Rudra Pillai,Male,9800002603,261090050019,2nd Year,No experience or Beginner
22/08/2026 10:21:00,Shaurya Sinha,Male,9800002740,261090050020,3rd Year,Nationals or States
23/08/2026 10:22:00,Atharv Jain,Male,9800002877,261090050021,1st Year,District or Local Tournaments
24/08/2026 10:23:00,Om Bhat,Male,9800003014,261090050022,2nd Year,School
25/08/2026 10:24:00,Parth Agarwal,Male,9800003151,261090050023,3rd Year,Casual
